preprocessed_text,label
ያውም ገለባውን ትተን ወደውስጥ ካየነው የሚያስቀና ህዝብ ነን ከነገ የማይታያቸውን አትስሟቸው ቅርብ አልመው ቅርብ ሊያወርዱዋቹ ብሩህ ተስፋ ላላችው,0
ለትግራይ አታስብ በትግራይ ስም አትነግዱ ተጋሩ አለን እናተ አዝናችሁ የትግራይ እናት ደም ስፈስ የጁንታው እናት ያልክ,1
በቲቪ አይቼዉ ስስቅ ነበረ ቪድዬዉን ፍለጋ,0
አሸባሪውና አረመኔው ወያነህወሀት መከላከያው በፈፀመው አረመኔያዊ ድረጊት ቅጣቱን ያገኝ የቀረው ቀን በዚህ የሚሸበር ካ,1
ከተላላኩነት አውጥቶ ቤተ መንግስት ላስገባህ ሰው ውለታው እድህ,0
የአድዋን ታሪክ ትደግማለህ ተነስ _ዶክተር ደብረ ፅዮን ለመቀሌ ነዋሪዎች ጥሪ ሲያቀርብ ያላስተዋለው ቁም ነገር በአድዋ የተደረገው ጦርነትና የተገኘው ድል በመላው የኢትህዝብ ሲሆን,1
ደደብ አምላክ እኔን ለመሆን እየሞከረ ሉሲፈር ቁጥሬን ደውልልኝ,1
ተፈራረምክ አሉ ከአሸባሪዎች ልትሰራላቸው ለገዳዮች መንደር እህዝ ተፈናቅሎ ጎዳና ተጥሎ ህፃን አዛውንቱ የትም ተበትኖ ላሸባሪዎቹ ድጋፍ ትሰጣለህ የሚጮኸውንህ,1
እንደራሳቸው መስሏቸው መንግስት አስመልጧቸው ያፋልጋል እያሉ ሲተረተሩ የነበሩ ይሉ ይሆን አልኩና መልሼ አያልቅ,0
በአፍሪካ ልውጥ የኮሮናቫይረስ ዝርያዎች ወረርሽኝ ሊያገረሽ,0
ይህን የካንሰር አጫሪ ስጋ ሁሉንም ነገር እጠላለሁ እርሱ መላው ቤተሰቡ ሆስፒታል እስኪደርሱ ድረስ እንደሚሮጡ ተስፋ አደርጋለሁ በግሌ መጥቼ አሳዛኝ,1
ሰውን ለመርዳት ቅን ልብ ያለውን ሰው እግር ይጠብቀዋል ቆርቆሮ ብርቃቹ ስትሞቱ ተገነዙበት ምድረ አረመኔ,1
ሶሻል ሚዲያ ዳንኪራ ውጤት አያስገኝም ብሏል ጁንታው አብይ ሀሞት ካለ ታጥ,1
ግዜ ለኩሉ በተራችሁ ወጣችሁ ጩሁ ማፈሪያዎች,1
በግድቡ ዙሪያ የመደራደር የዋሽንግተን ግፊት በዶናልድ ትራምፕ መሸነፍ ተነስቷል ግድቡን መጨረስ እንግዲህ,0
አንዳንዴ ሳትኖር የምትሞትበት አንዳንዴ ደግሞ ሞተህም የምትኖርበት ጊዜ አለ አንበሳው_ፋኖ ሂዊ,0
አብን ከባልደራስ አብሮ ለመስራት መስማማቱን የማይፈልጉ የአንድነት ካምፕ ሊቀ ቂሎች ብልፅግና ከኦነግ እንደሚሰራ ማመን አይፈልጉም,1
ጁንታው እስስት ይቀያይራል የቄስ ካባ ለብሶ ጥይት ያሳልማል ህዋሀት ሳሙናው ሙልጭ ሙልጭ ይላል ጀግና ለፊት ይዋጋል,1
ሴረኛ ያሸንፋል በነገራችን የዛሬዋ መግለጫ አላማ አላት በቅርቡ ሚዘለውን ሰው ጃዋር ልካቸውን ያስገቡቷል,1
ሰካራም ሰውዬ አስታወስከኝ ሁሌ በሰከረ ቁጥር እንዲህ ይል ነበርሚስቱን ፈረንጅ ነሽ አላቅሽም ብሎ ይወተውታት ልብህን ጭንቅላትህን ተጠቅመህ ብትናገር ጥሩ,1
ጥብቅ መረጃ ባንዳው ተጋለጠ ኢትዮጵያዊው የባይደን ቁልፍ ሰው በኢትዮጵያ የሸረበው አስደንጋጭ ሴ,1
አዪ ሆነ ብለህሽ,0
በኦሮሚያ ክልል አማራወች አሁንም በኦነግ ታጣቂ እየተገደሉ በሆሮጉድሩ ወለጋ አማራ በመሆናቸው እየተገደሉና እየተፈናቀሉ የአማራ የጅምላ ጭፍጨፋ በኦሮሚያ የሚቆመው ነ,1
ለሁለትኛ ግዜ እየተዋጋው የእትዮጵያ ህዝብ አተርፈው ለኛ ግዜ እድል የሚሰጠው ከሆኔ ከውርደትም የመጨረሻ ውርደት,1
ማንም ጠላት የለኝም የገዛ ጠላቴ አላርሜ,0
ጩጬ ሆኜ ልጣላ ስል ቦክስእርግጫ ማፍረጥ የሌለው ምጣላው ኢሄን ፈሪ,0
አንድም እናት አታለቅስም ተብሎ ድፍን የኢትዮጵያ እናት እያለቀሰች,0
ህጂ ምኒሊክን ጠይቂው ባንዳነት በደንብ እንደሆነ ያስረዳሻል ኤርትራ ለጣልያን እንደተሸጠ ጁቡቲን,1
ከፍትፍቱ ፊቱ የሚለዉን አባባል በእንግሊዘኛ ንገረኝ በይልኝ,0
ጦርነት ለእኛ ባህላዊ ጫወታ እያልክ ስትቦተርፍ ከርመህ በስተመጨረሻ ባህላዊ የውሸት መፈልፈያ ቋት ሆነህ አረፍከው ኩኩኒያም የጠገበ ከርከሮ የነፍጠኛ,1
ትግሬውም አማራውም ኦሮሞውምየክልሉን የመንግስት ጎጠኛ ካድሬ ተማምኖ የሚጮኸው አዲሳቤ ቢጮህ ሪፕሊካን በጥይት የሚያስጮኸው,1
የምትረዱነን እርዳታ አንፈልግም ካልን ግደታ ነውደ በቃ ከድህነታችን ተውን,0
የሚያዚያ ዜናዎች የአማራን የዘር ጭፍጨፋ የተቃውሞ ድምፅ በጀርመን,0
በዚህ ስራ ሰይጣናትን ካስጮኸ አልበም ቢያወጣ አባ ግርማ ከአንድ ሰው በነፍስ ወከፍ ሶስት ሚሊዮን ሰይጣን ማውጣቱ አይቀርም ሶስት,1
ሰበር ዜና የትግራይ መከላከያ ሰራዊት በፋሽሽት አብይ ቅጥረኛ ሀይል በወሰደው የመከላከል እርምጃ በአላማጣ ግምባር ክፍለ ጦሮቸ ሜካናይዝድ ሀይላቸው ሙሉ በሙሉ,1
በአለም አረቦች አእምሮው የደነቆረ ድልብ ደነዝ ፍጥረት አታገኝም የሚገርመው የጦር መሳሪያ ሰርተው ሳይሆን ገዝተው ለአብይ እየሰጡ የጨፈጨፉን,1
እራሱ እየገደለ መልሶ የሚያለቅስ አምባገነንተስፋፊ ስግብግብ የኔ የተፀናወተው ጋኔን,1
አትፍረዱብን አባቶቻችን_ኢትዮጵያዊነትን_እንጂ_ለጠላት_መንበርከክን_አላወረሱንም አሁንም የሀገሩን ሏላዊነትና ጥቅም አሳልፎ የሚሰጥ የለም ክብር ለኢትዮጵያዊነት ኢትዮጵያ,0
ብልፅግና ቢሸነፍም ቢያሸንፍም የማንነት ጥቃት በቀላል ይቆማል ብሎ ማሰብ ይቸግራል የተዘራው እስኪነቀል የካድሬዎች መረጋጋት አስፈላጊነቱ እንዳለ ሆኖ,0
ፈጣሪዬ ሆይ ኢትዮጵያን ማህበራዊ ሚዲያ ተጠቃሚዎች ምኞትና ሀሳብ ሳይሆን ምስኪኑና የዋሁ ገበሬ ቅንነት አኑራት,0
ባንዳ ስለሆኑ ቅጭላት የላቸውማ አያስቡም ለሆዳቸው ስለሚኖሩት ማንጨብጨብ ይወዳሉ እውነተኛ ታጋይ ትግራይ ለሀገሩ ለሆዱ አይኖርም ይሄ ይዩነታችን ጆ,1
ሁሉንም የትግራይ ከተሞች ለመከላከያ አስረክቦ መቀሌን ታቅፎ የቀረውን ደፂን አሉት የመቀሌ ከተማ ጊዜያዊ ከንቲባ,1
ይመስገነው አለን ዋናው ኢትዮጵያችንን ለማንም ነጫጭባ አለማስነካት,1
ድርጊቶችዎ ውጤቶች አሉት ከእነሱ መደበቅ አትችልም አስፈሪ የሆኑ ልጆች አሉዎት በጭራሽ ይቅር አይባልም,0
አታስቢ የትግራይ ህዝብ እየመጣ እየነደደልሽ እንኳን ደስ አለሽ ጭራቅ,1
ውሻ ብትለን ይውጠን,1
ልደቱ አያሌውን በሀሳብ መሞገት ተስኗቸው ህወሀት ገለመሌ እያሉ ከሚቦተረፉና በፊት በታዛዥነት ደግሞ በአዛዥነት በአገርና በህዝብ ወንጀል የሚሰራውን የዘር ጨፍጫፊ ከሚደ,1
ጠላት በውጭም በውስጥም ኢትዮጵያ ስትበተን ለማየት አሰፍስፏል ሴራም ቀጥሏል መከራ ይብቃ የህዝባች ሰላምና እድገት የሚያሳስበን ለውስጥ አንድነታችን በርትተን በቅንነት,0
ዱቄት ሆኗል ጉራ,1
ምድረ ደፋሪ ሌባ የአዞ እንባህን እዛው የትግራይን ህዝብ ከፈጃችሁ የአማራን አስመሳይነት እዩ ጨካኞችና አውሬዎች ናችሁ ማንም አይፈልጋችሁም ሰይጣኖች,1
በጦርነቱ አካባቢ ቤተሰብ ቢኖራቹ ኖሮ ጭንቀቱን ታውቁት ሰይጣን ሰው ሲባል ውሸት ይመስለኝ በወንድም በሴትም ተመስሎ ለካ ይመጣል,1
ታላቁ ሩጫ ሀይሌ ገብረስላሴ የተናገረውን ቆራረጡናድምፁን በፎቶሾፕየ አገኘው ተሻገር ድምፅ አስመስለው ሰሩትና ለቀቁት ባጫ ደበሌ,0
በመከራ ህይወት ይፈረድብዎታል እናም በሲኦል ይቃጠላሉ ሰይጣን ነፍስህን ያሳድዳል እናም ቀሪውን ዘላለማዊነት በሲኦል ታሳልፋለህ ሰይጣንን,1
ቱሪናፋ አንትን ሰው ብለን ልናዳምጥህ አጨብጫቢ ሁላ መጀመሪያ በግፍ ለሚገደለው ያዊ አውራ አስመሳይ ከንዳንተ አይነቱ,1
ታድያ አገናኘው ከሞቱ ሰግብግቡ ጁንታ ጌታቸው አሰፋ ደብረፅዮን ሳትገላቸው ሳትይዛቸው ወይሰ በነሱ እጂ ብትምት ይሻልህ ለማለት እሰኪ የገባው ካለ,1
የሆኑ የአማኑኤል እብዶች አማራ ኦሮሞ ትግሬና ጉራጌ የሚሉ ቀልዶች በህግ ታገዱ መሰለኝ ሰምቻቸው አላቅም,0
አህያ ሜዳ መንከባለሉን ለእናንተ ማፈርያዎች,1
ዘረኛ ከየት እንደተገኘሁ አውቃለሁ የቅድመ አያቶቼን ሰፉ ወግ አከብራሁ ቋንቋ ባህሌን አሳምሬ አውቃለሁ ለወንድም እህቶቼ,0
በሚ በፃፈው ከሱ ያንቺ ማግኘቱን ሳይ ስግብግብ ጁንታነትሽ የገባኝ,1
ኧረ አልፈልግም እያየሁህ,0
የሁለተኛው ወንዝ ስም ግዮን እርሱም የኢትዮጵያን ምድር ይከብባል ዘፍ,0
አንተም ኦሮሞ ኦሮምያ ትግራይ አይመለከትም እኛም ደንበጫ እንደማይመለከን ባለንበት ዘምን ማንም ስለሌላው ልወስን አይችልም,0
ጥበብ ጠርታው ጠብቃው ጠብቃው ጠብቃው ሰልችቷት ጥላው ከሄደች ነቅቶ ይኸው እየተንከራተተ,0
ካንጋሮ ኪስ እጅ የላትም አለ መምህሩ ቁም ነገሩ ዝምምም ብለን አናጋብስ መስጠትም እንልመድ ለማለት,0
እንግዲህ ማይኩን ስትጨብጡ ተነስተን ለማጨብጨብ ዝግጁ ነን,0
በታላቅ ድምቀት የሚከበረውን የጥምቀት በአል ተከትሎ የኮቪድ ወረርሽኝ እንዳይስፋፋ ጥንቃቄ አይለየን ሁሌም ማስክ በተለይ ጥምቀተ ባህር በሚኬድበ,0
ቅማል እኮ አይጠፋም በቀራችሁት የአረም መድሀኒት ነፍቶ ማጥፋት,1
ጅራፍ እራሱ ገርፎ እራሱ ይጮሀል ሀፍረት የሚባል ነገር አልፈጠረባችሁም ሶስት ሳምንት ባልሞላ ኦፕሬሽን የዘር ማጥፋት ወንጅል ትግራይ ተፈፅሟል ብላችሁ ዋይ ዋይ,1
ልደቱ ያናደደው የጁንታው መደምሰስ ለምን አበሉ ስለቀረበት ጠላትማ ጠላት መጀመርያ መምታት አሾክሻኪውን,1
በወሎ ኦሮሞ እየተፈፀመ ያለውን ጭፍጨፋ በተመሳሳይ መልኩ የኦሮሞ ህዝብ አደባባይ ወጥቶ ማውገዝ አለበት,0
ስልጣን ፈልጎ ማሽቃበጡ ብሽቅ ካድሬ,1
ፖስት በማድረግም ቢሆን እኛው እንቀድመዋለን,0
ኢትዮጵያ እልፍ ጠላት ቢሰለፍባትም ማንነትዋን መሻር አይችሉም,0
ዜማ ለመጀመሪያ ግዜ በራሱ የሚተማመን ምርጫ መጣ ፖሊሲ ቀንጥሱ ያልሆነ ቀደም ብሎ አማራጭ ፖሊሲውን በጥልቀት መርምሮ አሰናድቶ መሬት አውርዶ አወያይቶ,0
ሄዋን በሴራ የሚደርስብንን ጥቃትና መከራ ለማስወገድ አሰፈላጊ የሆነውን ተጠቅመን ነፃ መውጣት ያስፈልገናል ትግል ሰፊ መስዋእት መሆንንም ይጠይቃል,0
የቤንሻንጉል ክልል ርእሰ መስተዳደርን ጨምሮ ሌሎች በስሩ ያሉ ሰው በላ አውሬዎች በቁጥጥ ስር ውለው በአስቸኳይ ለህግ ይቅረቡልን,1
የአል ሲሲ ማስጠንቀቂያ ኢትዮጵያ የአባይ ውሀ አትንካው አይመስለኝም ከድርሻዬ ጥቂቱን,0
ከዚህች አለም ክፋት ሙሉበሙሉ ይወገዳል ማለት ቅዠት እየከፋ ይሄድና የፈጣሪን ዳግም ምፅአት ያፋጥናል አሜን ጌታ ሆይ,0
ለመለስ ዜናዊ የእግሩ እጣቢ ሆኖ የመደፋት የእጥሩ ሙጃ ሆኖ በቅሎ በአጋሰስ የመጋጥ ብቃት እንደሌለህ ስታስበው የበታችነት,1
ጉራ የክልል ትግራይ አይጦች ጥይት ብቶከስ እኮ ይሸሻሉ ፈሪዎች የቀን ጅቦች ጁንታ,1
አሳሳቢ ጃዋር ባስነጠሰው ባደናቀፈው ቁጥር የፈረደበት ነፍጠኛ አለ,1
አገር ማጣት ከባድ ወያኔ ንቀርሳ እንዲጠፋ እኔም የበኩሌን አበረክታለሁ,1
ፈሳም በለው ዝም ብሎ ጉረኛ ነገር,1
ገቡ የቤት እቃ ስልክ ወሰዱ እሁድ ሸኔዎቹ መጥተው አደጋ አደረሱብን ሲሉም ተናግረዋል አስክሬን እንዳዩ እንዲሁም ቤት መቃጠሉንም ይናገራሉ,0
ስናውቕህ እያንዳንዱ ህወሀት አባል ታጥቋል ትጥቕን የቀረችህን ቁምጣ እናስወርድሀለን ምድረ ሌባ የኢትዮጵያ ማፈሪያ ወያኔ,1
ልዩነታቸውን አስረጂኝ ታድያ ባንቺ እይታና መረዳት እንዳታረጊው,0
ዛሬ ደሞ ተከተማ ወጣ ብለናል,0
ይህን መልእከት የፃፈው ሰው የቀን ጅብ,1
አረመኔው ሰይጣን የህወሀት ቡድን በማይካድራ በንፁሀን የወሰደው አረመኔ የዘር ማጥፋት ጭፍጨፋ በአለማችን ከተመዘገቡት ተርታ በመሆኑ በወንጀል የሚያስጠይቀው ሆኖ ያለምንም ድር,1
አረመኔዎች የሰው ሬሳ ሻጮች ለወገኖቻችን የተላውን እርዳታ መካዝን ካስገቡ በጎን አያወጡ ሸጡት በዚህ ሙቱ ብአዴን ተጠያቂ ቢሆንም የቻግኒ ወረዳ አመራ,1
በመቶ ሺዎች የሚቆጠሩ አረመኔ የሆኑ ሰራዊት ካስጨረሳቹ ቡሀላ ግብርና ማውራት ጀመራቹ ወጣም ወረደ ወታደር አሰለጠናቹም ትራክተር ገዛቹ ታንቀሽ ዘብጥያ መውረ,1
አረ ይደብራል ሁልግዜ ተደመሰሱ ነውንዴ አልፎ አልፎም ተደመሰሰብን በልንጂ እንዳንተ እንደዛ ጉማሬ ጓደኛህ ወሬ ቢሆን የትግራይ ህዝብ አልቆ,1
ሰው ትግሬ ጁንታ ኦሮሞ ኦነግ ይመስለዋል እዚህኛውም እዚያኛውም ሰፈር እኮ በኢትዮጵያዊነታቸው የማይደራደሩ ቆራጦች አሉ ሁሉንም አብሮ መጨፍለቅ ተገቢ,0
ሰው ከምርህ የጉሙዝን ህፃን አማራ ጨፈጨፈ ያልኸው ጉድ ዘንድሮ እውነትም ስራህ ያውጣህ ለቅሷቸው ባንተ ይድረስ ምንም አልልህም,1
ከለታት ቀን ሞኝ ልጅ ተነስቶ ወጣ ከቤቱ ሄደ ገሰገሰ ተሳፉሮ ሞኞች ወዳሉበት ከተማ ሄዶም ሊማርም አልቻለ ለምን ቢባል እሄ ልጅ ድሮም ድሮም ድሮም ሞኝ ነበረ,0
ማድረግም ፈልጌ እራሴንም ፈልጌ ምቀመጥበት ሁኔታ ምገኘው,0
አጋሰሱ አረጋኸኝ ትግራይ ወገንህ ማይ ካድራ ስሙ ሳይቀር ይነግርሀል ትግራይ ለመሆኑ የማይ ካድራ ወገናችን ድሮውም የናንተን እርዳታ አንፈልግም ያልነው,1
ወያኔ በየደረጃው ያስቀመጣቸው አመራሮች ካልተመነጠሩአሁን በአፋጣኝ ሙሉ አዲስ አበባ ከቤት ቤት አሰሳና የሆቴልች መኝታ ቤቶች ቁጥጥር መጀመር አለበት ኗሪዎች ደግሞ የሚያ,1
የአብን ትክክለኛ ማንነት ኢትዮጵያዊነት ለዚህም ህወሀት አሸባሪ ቡድን እንዲባል ከማንም በፊት የጠየቀው የህወሀት አገልጋይ ገረ,1
አይቀሬው ትግል በስውርና ግልፅ ሴራ ንፁሀንን በማጋየት በመግደልና ተስፋ በማስቆረጥ የተጠመዱ የደም ነጋዴዎችን አጥንቶ ወላፈኑ እንዲካ አይቀሬ ትግል ከጠ,1
ዘረኛ መሪዎ በዝግታ በህመም ይሞታሉ,1
ይሄንን ውብ ባህል እየተጠቀመ እኮ ወያኔ ዛሬ ሳይዋጋ አገር እያስለቀቀ,0
በገዛ እራሱ ጥልቁ አናት በእራሱ ደም በመፍሰሱ የራሱን ደም በማፍሰስ ሳይወስዱ በድግምት አስማት ማንም ሊልኩ አይችሉም,1
የትግራይ ብሄርተኝነት መነሻም መደምደሚያምም የአማራ ጥላቻ ኢትዮጵያም የአማራ ስራ ውጤት ስለምትመስላቸው ኢትዮጵያውያንን አምርረው ይጠላሉ ምርምር አያስፈልገውም ብቸኛው ምርጫ ማሸነፍ,1
ሰውዬው ልብስ ለብሶ የሚሄድ ሰይጣን ቆይቶ ምድርን የዘረጋሁ ይለናል ፈጣሪ ካልዘረጋልን ወደመሬት ይህንን ሰይጣን,1
ትግራይ በመሄድ ጁንታውን ለማጋለጥ የወሰንበትን በማክበር ነን,1
ጠቅላይ ሚኒስተር አብይ አሀመድ ይድረስ ስልጣን ከያዝህ በሁላ ያስጨረስከውን አማራ ወያኔ እመት ከጨረሰው ይነጣጠር በዉሎ ህዝብ የምትጬውተውን,1
አጀንዳ ኢላማውን እንደሳተ ይኸው ዛሬም አለን,0
ዶሮ ምለስ ያላትም መንጋገ የፓይሌቶቹ ሀገር ነሽ ወለጋ,0
የሱ ዜጎች አደሉም እየተቀጠፉ ያሉት አውሬዎች ናቸዉ የሱ ዜጎች የንፁሀኑን ህይወት የሚቀጥፉት ለዛም በተደጋጋሚ በፈጣጣ አይኑ ሽምጥጥ አርጎ የሚክደዉ,1
ቢሊዮን ዶላሮች በአመት የሚያስገኝ ህዳሴ ግድቡ በቱሪዝም አቅሙ,0
የሻቢያ ወንዳገረድ ከትግራይ ምድር ለቀው እንዲወጡ ንገራቸዋ ወደሉ,1
ባለጌ ሁላ ይመስለኛል,1
ጭላ ወያኔ ማሳረጊዋ ሊሆን ነገር አፈር ሸሻት ህውሀት,1
እናወራለን እቅዱን ለማሳካት እየሮጠ,0
ወንድሞቻችንን ገላቹ ስጋቸውን እያቀቃጠላቹበት የወጣው ተንቀሳቃሽ ምስል መሪዎቹ አማራዎች ቢሆኑም ከነሱ እያቃጠላቹ በምትነጋገሩት ድምፅ ከየትኛው ወገን እንደሆናቹ ለይተናል የአ,1
ብለህ አውሬዎች አመት የሰሩት ወንድሞቻችን ለማቆራረጥ ኢትዮጵያ መሬት ችግር የለባትም ጠቅላይ ሚኒስትሩም,1
ሀቅ ሰውየው ነገር ቢሆን ወይዘሮዋ በየቦታው እየዞሩ ትምህርት ቤት አይመርቁም ስዪም ተሾመ በፊት ወሬ እንለቡ የአገኝ ስለተከለከለ በግምት መቀባጠር ጀመረ,1
የብሄርተኝነት መጨረሻው አረመኔነት መቀየር የመቀሌው ጁንታ በሰራዊታችን በንፁሀን ቤተሰቦቻችን የፈፀመው ጭፍጨፋክቡር ዶክተር አብይ ለፍትህ,1
ንፍጣም ሁላ እስር ቤት ሰው ትስቃለህ አይደል ደደብ,1
ይኼ ባዶ ጉራና አይጥ ጉድጓድ ተቀብረው ሽንት በሽንት የሆኑ መሪዎችን ይዘው,1
ተፈሪ አለሙ ከመምህር ተስፋዬ እሸቱ የተላከለትን ፅሁፍ ያዘጋጀውን ይዞላችሁ ይቀርባል የጨዋታ እንግዳችን ፕሮፌሰር_መሳይ_ከበደ ከፕሮፌሰር መሳይ ከበደ የተደረገው,0
ሲበዛ ደደብ ነክ ከናንተ አህያ የሚቀላቀለው እድሜ ልካችሁን መርዛሞች,1
ከዚህ ፎቶ ይውጣልሽ ተይ እግዜአብሄርን አታማሪ,1
አባባ ተስፋዮ በህይወት አሉ ማለት ይቻላል,0
ውሻ አገባት እርሻ ይሏችኋል,0
መሰላቸት ሰው አሰልቺ ስለሆንክ ነገር መጣል ነገር ማድነቅ እንደማትችል ያሳያል አሰልቺ ስለሆኑ ነገር መጣል ሲፈል,1
ታሪክ ያለን አይዞን ቀን እኛም እንደሌሎቹ የራሳችን እምንላት ሀገር ትኖረናለች,0
ከአተም ጋሪ ሴራ አለ አዘንብህ የወሎን ህዝብ ለጂብ ጥለህ ጎደሪ ባህዳር እዳይገቡ እየተከላከላቺሁ ያላቺሁት ክፊ ስራ ለማንም አይበጂ አብይ እዝህ መከራላይ የወደቀው,1
