text,label
የሆኑ የአማኑኤል እብዶች ነበሩ . አንድ አማራ ኦሮሞ ትግሬና ጉራጌ ነበሩ . የሚሉ ቀልዶች በህግ ታገዱ መሰለኝ ሰምቻቸው አላቅም ??,0
እንደ አህያ ሜዳ መንከባለሉን ለእናንተ፡፡ ማፈርያዎች፡፡,1
ዘረኛ ነኝ ። ምክንያቱም ፣ እኔ ከየት እንደተገኘሁ አውቃለሁ ፣ የቅድመ አያቶቼን ሰፉ እና ወግ አከብራሁ ፣ ቋንቋ እና ባህሌን አሳምሬ አውቃለሁ ፣ ለወንድም እና እህቶቼ እንደ,0
በሚ በፃፈው ከሱ በላይ ያንቺ ???? ብዙ ማግኘቱን ሳይ ስግብግብ ጁንታነትሽ ነው የገባኝ,1
ኧረ አልፈልግም እያየሁህ ነው ! ዋ !,0
‹‹የሁለተኛው ወንዝ ስም ግዮን ነው:: እርሱም የኢትዮጵያን ምድር ሁሉ ይከብባል›› ዘፍ . ፪:፲,0
አንተም ስለ ኦሮሞ እና ኦሮምያ ትግራይ . አይመለከትም:: እኛም ስለ ደንበጫ እንደማይመለከን ሁሉ:: እና አሁን ባለንበት ዘምን ማንም ስለሌላው ልወስን አይችልም::,0
ጥበብ ጠርታው ጠብቃው ጠብቃው ጠብቃው ሰልችቷት ጥላው ከሄደች በኋላ ነቅቶ ይኸው እየተንከራተተ ነው Mention him,0
ካንጋሮ ኪስ እንጂ እጅ የላትም አለ መምህሩ ቁም ነገሩ: ዝምምም ብለን አናጋብስ መስጠትም እንልመድ ለማለት ነው ????,0
እንግዲህ ማይኩን ስትጨብጡ ተነስተን ለማጨብጨብ ዝግጁ ነን ????,0
#NOMASKNOSERVICE በታላቅ ድምቀት የሚከበረውን የጥምቀት በአል ተከትሎ የኮቪድ ወረርሽኝ እንዳይስፋፋ ጥንቃቄ አይለየን ፤ ሁሌም ማስክ ማድረግ በተለይ ጥምቀተ ባህር በሚኬድበ,0
ቅማል እኮ ቶሎ አይጠፋም አሁን በቀራችሁት የአረም መድሃኒት ነፍቶ ማጥፋት ነው,1
እነ ጅራፍ እራሱ ገርፎ እራሱ ይጮሀል ሀፍረት የሚባል ነገር አልፈጠረባችሁም ? እናንተ ሶስት ሳምንት ባልሞላ ኦፕሬሽን የዘር ማጥፋት ወንጅል ትግራይ ውስጥ ተፈጽሟል ብላችሁ ዋይ ዋይ,1
ልደቱ ያናደደው የጁንታው መደምሰስ ነው . ለምን? አበሉ ስለቀረበት! ጠላትማ ጠላት ነው . መጀመርያ መምታት አሾክሻኪውን ነው,1
በወሎ ኦሮሞ ላይ እየተፈፀመ ያለውን ጭፍጨፋ በተመሳሳይ መልኩ የኦሮሞ ህዝብ አደባባይ ወጥቶ ማውገዝ አለበት,0
ተጨማሪ ስልጣን ፈልጎ ማሽቃበጡ ነው። ብሽቅ ካድሬ!,1
ፖስት በማድረግም ቢሆን እኛው እንቀድመዋለን!,0
ኢትዮጵያ ላይ እልፍ ጠላት ቢሰለፍባትም ማንነትዋን ማናቸውም መሻር አይችሉም።,0
Eዜማ፣ ለመጀመሪያ ግዜ በራሱ የሚተማመን፣ ምርጫ መጣ ፖሊሲ ቀንጥሱ ያልሆነ፥ ቀደም ብሎ አማራጭ ፖሊሲውን በጥልቀት መርምሮ፣ አሰናድቶ መሬት አውርዶ አወያይቶ፥,0
አዎን ሔዋን በሴራ የሚደርስብንን ጥቃትና መከራ ለማስወገድ አሰፈላጊ የሆነውን ሁሉ ተጠቅመን ነጻ መውጣት ያስፈልገናል ። ትግል ሰፊ ነው መሥዋእት መሆንንም ይጠይቃል,0
የቤንሻንጉል ክልል ርዕሰ መስተዳደርን ጨምሮ ሌሎች በስሩ ያሉ ሰው በላ #አውሬዎች በቁጥጥ ስር ውለው በአስቸኳይ ለህግ ይቅረቡልን! Stop amhara and/Agew Genocide at,1
የአል ሲሲ ማስጠንቀቂያ ኢትዮጵያ የአባይ ውሃ አትንካው አይመስለኝም ምናልባት #ከድርሻዬ ጥቂቱን ?,0
ከዚህች ዓለም፣ ክፋት ሙሉበሙሉ ይወገዳል ማለት ቅዠት ነው። ይልቅ እየከፋ ይሄድና የፈጣሪን ዳግም ምጽአት ያፋጥናል። አሜን ጌታ ሆይ ቶሎ ና!,0
Dear  ለመለስ ዜናዊ የእግሩ እጣቢ ሆኖ የመደፋት ወይ የእጥሩ ሙጃ ሆኖ በቅሎ በአጋሰስ የመጋጥ ብቃት እንደሌለህ ስታስበው የበታችነት ስ,1
ጉራ ብቻ ናቸው የክልል ትግራይ ኣይጦች! ኣሁን ኣንድ ጥይት ብቶከስ እኮ ይሸሻሉ ፈሪዎች የቀን ጅቦች! ጁንታ Game Over!,1
በጣም አሳሳቢ ነው ጃዋር ባስነጠሰው ባደናቀፈው ቁጥር የፈረደበት ነፍጠኛ አለ,1
አዎ አገር ማጣት ከባድ ነው ወያኔ ንቀርሳ እንዲጠፋ እኔም የበኩሌን አበረክታለሁ,1
ፈሳም በለው ?? ዝም ብሎ ጉረኛ ነገር,1
ገቡ፤ የቤት እቃ፣ ስልክ ወሰዱ። እሁድ ሸኔዎቹ መጥተው አደጋ አደረሱብን ሲሉም ተናግረዋል።እሳቸው ከ50 በላይ አስክሬን እንዳዩ እንዲሁም ቤት መቃጠሉንም ይናገራሉ #Ethiopia,0
ስናውቕህ ፣ እያንዳንዱ ህወሃት አባል ታጥቋል ፣ ትጥቕን አይደለም የቀረችህን ቁምጣ እናስወርድሃለን። ምድረ ሌባ የኢትዮጵያ ማፈሪያ ወያኔ !,1
ልዩነታቸውን አስረጂኝ ታድያ ባንቺ እይታና መረዳት እንዳታረጊው,0
ዛሬ ደሞ ተከተማ ወጣ ብለናል,0
ይህን መልእከት የጻፈው ሰው አይደለም የቀን ጅብ ነው,1
አረመኔው ሰይጣን የህወሀት ቡድን በማይካድራ በንጹሀን ላይ የወሰደው አረመኔ የዘር ማጥፋት ጭፍጨፋ በዓለማችን ላይ ከተመዘገቡት ተርታ በመሆኑ በወንጀል የሚያስጠይቀው ሆኖ ያለምንም ድር,1
እነዚህ አረመኔዎች፣ የሰው ሬሳ ሻጮች ለወገኖቻችን የተላውን እርዳታ መካዝን ውስጥ ካስገቡ በኋላ በጎን አያወጡ ሸጡት።በዚህ ጉዳይ ላይ ሙቱ ብአዴን ተጠያቂ ቢሆንም የቻግኒ ወረዳ አመራ,1
በመቶ ሺዎች የሚቆጠሩ አረመኔ የሆኑ ሰራዊት ካስጨረሳቹ ቡሃላ ስለ ግብርና ማውራት ጀመራቹ ? ወጣም ወረደ ወታደር አሰለጠናቹም ትራክተር ገዛቹ ታንቀሽ ዘብጥያ መውረ,1
አረ ይደብራል ሁልግዜ ተደመሰሱ ብቻ ነውንዴ አልፎ አልፎም ተደመሰሰብን በልንጂ እንዳንተ እና እንደዛ ጉማሬ ጓደኛህ ወሬ ቢሆን የትግራይ ህዝብ አልቆ ከ ne,1
አንዳንድ ሰው ትግሬ ሁሉ ጁንታ ኦሮሞ ሁሉ ኦነግ ይመስለዋል፡፡ እዚህኛውም እዚያኛውም ሰፈር እኮ በኢትዮጵያዊነታቸው የማይደራደሩ ቆራጦች አሉ ሁሉንም አብሮ መጨፍለቅ ተገቢ አይደለም,0
አንተ ሰው ከምርህ ነው የጉሙዝን ህፃን አማራ ጨፈጨፈ ያልኸው ጉድ ነው ዘንድሮ እውነትም ስራህ ያውጣህ ለቅሷቸው ባንተ ይድረስ ሌላ ምንም አልልህም,1
ከለታት አንድ ቀን አንድ ሞኝ ልጅ ተነስቶ ወጣ ከቤቱ ሄደ ገሰገሰ ተሳፉሮ ሞኞች ወዳሉበት ከተማ ሄዶም ግን ሊማርም አልቻለ ለምን ቢባል እሄ ልጅ ድሮም ድሮም ድሮም ሞኝ ነበረ ????  ????,0
Tweet ማድረግም ፈልጌ እራሴንም mute ማድረግ ፈልጌ ምቀመጥበት ሁኔታ ላይ ነው ምገኘው ??,0
አጋሰሱ አረጋኸኝ ትግራይ ወገንህ አይደለም? ማይ ካድራ ስሙ ሳይቀር ይነግርሃል ትግራይ ለመሆኑ 600 የማይ ካድራ ወገናችን። እኛ ድሮውም የናንተን እርዳታ አንፈልግም። ያልነው አት,1
ወያኔ በየደረጃው ያስቀመጣቸው አመራሮች ካልተመነጠሩ-አሁን በአፋጣኝ ሙሉ አዲስ አበባ ከቤት ቤት አሰሳና የሆቴልች መኝታ ቤቶች ቁጥጥር መጀመር አለበት ኑዋሪዎች ደግሞ የሚያ,1
የአብን ትክክለኛ ማንነት ኢትዮጵያዊነት ነው:: ለዚህም ነው ህወሃት አሸባሪ ቡድን እንዲባል ከማንም በፊት የጠየቀው:: የህወሃት አገልጋይ ገረ,1
አይቀሬው ትግል?? በስውርና ግልፅ ሴራ ንፁሃንን በማጋየት፣ በመግደልና ተስፋ በማስቆረጥ የተጠመዱ የደም ነጋዴዎችን አጥንቶ ወላፈኑ እነሱን እንዲካ ማድረግ አይቀሬ ትግል ነው!! ከጠ,1
እርስዎ እና ዘረኛ መሪዎ በዝግታ እና በህመም ይሞታሉ,1
ይሄንን ውብ ባህል እየተጠቀመ እኮ ነው ወያኔ ዛሬ ሳይዋጋ አገር እያስለቀቀ ያለው,0
በገዛ እራሱ ጥልቁ አናት ላይ ፣ በእራሱ ደም በመፍሰሱ እና የራሱን ደም ወደ ውስጥ በማፍሰስ ሳይወስዱ በድግምት እና አስማት ማንም ሊልኩ አይችሉም። ,1
